Agreement|Agreement
Constitution|Constitution
Contract|Contract
Convention|Convention
Court decision|Court Decision
Cultural norm|Cultural norm
Directive|Directive
Legislation|Legislation
Memorandum of Understandment|Memorandum of Understandment
Ordinance|Ordinance
Policy|Policy
Treaty|Treaty
Professional standard|Professional standard
Statutes|Statutes
Social mores|Social mores
Customs|Customs
Community expectations|Community expectations
Charters|Charters
Mission statements|Mission statements
Procedures|Procedures
Instructions|Instructions
Codes of conduct or ethics|Codes of conduct or ethics
Work assignments|Work assignments
Work plans|Work plans
