Corps céleste|Corps céleste
Groupement de corps célestes|Groupement de corps célestes
Voie de circulation ou de transport|Voie de circulation ou de transport
Bâtiment|Bâtiment
Terrain aménagé ou construit|Terrain aménagé ou construit
Espace urbain végétal|Espace urbain végétal
Commune|Commune
Lieudit ou quartier|Lieudit ou quartier
Espace forestier|Espace forestier
Espace agricole|Espace agricole
Division territoriale|Division territoriale
Union ou ensemble de pays|Union ou ensemble de pays
Pays|Pays
Relief terrestre|Relief terrestre
Littoral ou côte|Littoral ou côte
Formation terrestre émergée|Formation terrestre émergée
Espace souterrain|Espace souterrain
Relief sous-marin|Relief sous-marin
Espace géographique|Espace géographique
Continent|Continent
Formation glaciaire|Formation glaciaire
Cours d’eau|Cours d’eau
Étendue d’eau non maritime|Étendue d’eau non maritime
Espace maritime côtier|Espace maritime côtier
Espace maritime|Espace maritime
